date,code,usdprice
1999-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.21
1999-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.21
1999-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.21
1999-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
1999-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
1999-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
2000-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.24
2000-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.24
2000-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.22
2000-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.24
2000-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.24
2000-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
2000-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
2000-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
2000-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
2000-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
2000-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.22
2000-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.22
2001-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.22
2001-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.22
2001-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.22
2001-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.22
2001-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.22
2001-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.22
2001-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.22
2001-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.22
2001-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.21
2001-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.21
2001-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.21
2001-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.21
2002-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.21
2002-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.21
2002-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.21
2002-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
2002-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
2002-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
2002-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.24
2002-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.24
2002-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.24
2002-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.24
2002-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.24
2002-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.24
2003-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.22
2003-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.22
2003-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.22
2003-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.22
2003-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.22
2003-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
2003-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
2003-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
2003-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
2003-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
2003-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
2003-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
2004-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
2004-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
2004-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
2004-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.24
2004-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
2004-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
2004-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
2004-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
2004-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
2004-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
2004-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
2004-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.24
2005-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.28
2005-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.25
2005-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.25
2005-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.25
